,Year,Cause,Age_Range,ISO_Code,Sex,Deaths,Age_and_Sex_Population,Country,region,sub-region,Overall Scores,Safety and Security,Ongoing Conflict,Militarian,Happiness score,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect
48,2020,Intentional self-harm,25-29,GBR,Female,244,4397732.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
49,2020,Intentional self-harm,25-29,GBR,Male,700,4565630.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
50,2020,Intentional self-harm,3,GBR,Female,0,764860.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
51,2020,Intentional self-harm,3,GBR,Male,0,805962.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
52,2020,Intentional self-harm,30-34,GBR,Female,210,4513720.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
53,2020,Intentional self-harm,30-34,GBR,Male,818,4521018.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
54,2020,Intentional self-harm,35-39,GBR,Female,260,4445752.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
55,2020,Intentional self-harm,35-39,GBR,Male,886,4356160.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
56,2020,Intentional self-harm,40-44,GBR,Female,218,4114668.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
57,2020,Intentional self-harm,40-44,GBR,Male,722,4058550.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
58,2020,Intentional self-harm,45-49,GBR,Female,284,4367336.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
59,2020,Intentional self-harm,45-49,GBR,Male,966,4263666.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
60,2020,Intentional self-harm,5-9,GBR,Female,0,4044836.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
61,2020,Intentional self-harm,5-9,GBR,Male,0,4252816.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
62,2020,Intentional self-harm,50-54,GBR,Female,312,4699024.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
63,2020,Intentional self-harm,50-54,GBR,Male,906,4548964.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
64,2020,Intentional self-harm,55-59,GBR,Female,246,4581172.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
65,2020,Intentional self-harm,55-59,GBR,Male,756,4428088.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
66,2020,Intentional self-harm,60-64,GBR,Female,192,3926530.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
67,2020,Intentional self-harm,60-64,GBR,Male,558,3769354.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
68,2020,Intentional self-harm,65-69,GBR,Female,110,3460084.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
69,2020,Intentional self-harm,65-69,GBR,Male,364,3248700.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
70,2020,Intentional self-harm,70-74,GBR,Female,96,3507278.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
71,2020,Intentional self-harm,70-74,GBR,Male,328,3206586.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
72,2020,Intentional self-harm,75-79,GBR,Female,64,2576664.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
73,2020,Intentional self-harm,75-79,GBR,Male,198,2226336.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
74,2020,Intentional self-harm,80-84,GBR,Female,76,1933946.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
75,2020,Intentional self-harm,80-84,GBR,Male,142,1517522.0,United Kingdom,Europe,Northern Europe,1.778,1.761,1.305,2.489,6.798,10.645,0.929,70.2,0.885,0.197,0.49,0.717,0.225
